source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Dingelstad.xyz'}",,Finding the Right PaaS for Kubernetes,"Aah, Kubernetes. The new hype-driven developer’s crack. I couldn’t escape it
either. Join me on my journey through a handful of interesting PaaS projects for k8s!",https://bram.dingelstad.xyz/blog/finding-the-right-paas-for-k8s/,https://dingelstad.xyz/blog/finding-the-right-paas-for-k8s/cover.jpg,2020-03-30T22:20:19Z,"Aah, Kubernetes. The new hype-driven developer’s crack. I couldn’t escape it
either. Join me on my journey through a handful of interesting PaaS projects for k8s!
We all know the moment. One of the people on your team catches a bug unlike any
software one … [+9289 chars]"
"{'id': None, 'name': 'Linkedin.com'}",,Containers Are Not the Future,I saw this tweet the other day and it prompted me to start arranging some more thoughts on the subject - putting pen to paper so to speak. As I'll touch below you don't see engineers making statements like this that often in public as the container crowd will…,https://www.linkedin.com/pulse/containers-future-ian-eyberg,https://media-exp1.licdn.com/dms/image/C5612AQGVI--g22iaag/article-cover_image-shrink_720_1280/0?e=1590019200&v=beta&t=gNT7vTKK5wmQY8zIpxdzly-Z7xSXzZDTeDXrzCDFcYI,2020-03-19T15:18:34Z,"I saw this tweet the other day and it prompted me to start arranging some more thoughts on the subject - putting pen to paper so to speak.
As I'll touch below you don't see engineers making statements like this that often in public as the container crowd wil… [+10130 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Lindsay Clark,"MariaDB cuddles Kubernetes, snuggles ServiceNow and readies analytics with latest update to cloudy SkySQL","K8s 'kind of a universal key' for going multi-cloud MariaDB has updated its cloud-native SkySQL database, promising a slew of features addressing deployment, management and analytics.…",https://www.theregister.co.uk/2020/03/31/mariadb_skysql/,https://regmedia.co.uk/2018/06/14/shutterstock_dog_and_cat.jpg,2020-03-31T23:01:07Z,"MariaDB has updated its cloud-native SkySQL database, promising a slew of features addressing deployment, management and analytics.
Designed to support cloud-neutral and hybrid installations, the MySQL cousin now employs Kubernetes for container services to … [+3289 chars]"
"{'id': None, 'name': 'Habr.com'}",aSkobin,Как устроена Вечерняя школа по Kubernetes,"Слёрм запустил Вечернюю школу по Kubernetes: цикл бесплатных лекций и платных практических занятий для тех, кто изучает k8s с нуля. Занятия ведут Марсель Ибраев, инженер Southbridge, CKA, и Сергей Бондарев, инженер Southbridge, СКА, один из разработчиков kube…",https://habr.com/ru/company/southbridge/blog/497688/#post-content-body,https://habrastorage.org/webt/f_/4l/ul/f_4lulishblv5w2t1etazonrlo8.jpeg?v=1,2020-04-17T07:35:52Z,"Kubernetes: , k8s ., Southbridge, CKA, , Southbridge, , kubespray pull request.
, , .
Docker. : Docker, k8s. , .
: 
: 
.
: 
. , , - . .
, . Kubernetes. 40 .
 :20 : Kubernetes, . , , . Pod, ReplicaSet, Deployment21 : Deployment, Probes, Limits/Request… [+471 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Simon Sharwood,VMware finally delivers its K8s and vSphere combo,"And tosses in a new cloudy manager for good measure VMware has finally delivered on its vision to integrate Kubernetes and vSphere, by making Cloud Foundation 4.0 generally available.…",https://www.theregister.co.uk/2020/04/15/cloud_foundation_4_debuts/,https://regmedia.co.uk/2020/04/15/vmware_cloud_foundation_with_k8s.jpg,2020-04-15T09:00:11Z,"VMware has finally delivered on its vision to integrate Kubernetes and vSphere, by making Cloud Foundation 4.0 generally available.
Virtzilla teased this at VMworld 2019 and then launched it in early March 2020. But that was really more teasing because it tu… [+1150 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Tim Anderson,"Microsoft brings K8s Security Center out of preview, replaces CoreOS Container Linux with Flatcar","Azure security dashboard now covers Kubernetes service - at a price Microsoft's integration of Azure Kubernetes Service (AKS) with Security Center is now out of preview. In addition, the company has added Flatcar Linux to the Azure marketplace to replace Core…",https://www.theregister.co.uk/2020/03/24/microsoft_brings_k8s_security_center/,https://regmedia.co.uk/2020/03/24/security.jpg,2020-03-24T14:15:11Z,"Microsoft's integration of Azure Kubernetes Service (AKS) with Security Center is now out of preview. In addition, the company has added Flatcar Linux to the Azure marketplace to replace CoreOS Container Linux, which goes end of life in May.
The Azure Securi… [+2649 chars]"
"{'id': None, 'name': 'Habr.com'}",sobolevn,9 лучших опенсорс находок за март 2020,"Доброго карантинного апреля, дамы и господа. Подготовил для вас подборку самых интересных находок из опенсорса за март 2020. За полным списком новых полезных инструментов, статей и докладов можно обратиться в мой телеграм канал @OpensourceFindings ( по ссылке…",https://habr.com/ru/post/495882/#post-content-body,https://habrastorage.org/webt/i_/ya/om/i_yaom-er8tm9bmnyiohv-wuauu.gif?v=1,2020-04-06T09:44:40Z,", . 2020. 
 , @OpensourceFindings (, ).
 .: Rust, TypeScript, JavaScript, Go, Python.: , , , .
 ( 2019!).
glitch-this
 , """" gif'.Python.
k9s
 k8s .
 Go.
gqless
GraphQL . , .
 TypeScript.
django-schema-graph
Django , . .
 Python.
misspell-fixer-… [+714 chars]"
"{'id': None, 'name': 'Habr.com'}",n_bogdanov,Loghouse 0.3 — долгожданное обновление нашей системы работы с логами в Kubernetes,"У компании «Флант» есть ряд Open Source-разработок, преимущественно для Kubernetes, и loghouse — одна из самых популярных. Это наш инструмент для централизованного логирования в K8s, который был представлен более 2 лет назад. Как мы упоминали в недавней стать…",https://habr.com/ru/company/flant/blog/493158/#post-content-body,https://habrastorage.org/webt/ac/qe/lz/acqelzxpdkabvtthknpon8dnv1g.png?v=1,2020-03-23T09:04:17Z,"«» Open Source-, Kubernetes, loghouse . K8s, 2 .
, , . loghouse, .
loghouse Kubernetes- , , , . , SQL-, , .
 loghouse :
<ul><li> -, merge-;</li><li> , ;</li><li> gem -;</li><li> fluentd (loghouse-fluentd:latest - gemset').</li></ul>, issues GitHub, .
, ,… [+1580 chars]"
"{'id': None, 'name': 'Inside.com.tw'}",客座投稿,【FinTech 觀點】用飲料店當例子，簡單理解微服務與 Open API !,Open API 最近成為台灣 Fintech 非常重要的關鍵字！但它到底是什麼？這篇文章會給您最詳盡的解釋。,https://www.inside.com.tw/article/19372-FinTech-Microservice-Open-API,https://inside-assets1.inside.com.tw/2020/3/0i2hg5i8mamt2bngfkkmmf3a4n95o5.png?auto=compress&fit=max&w=730,2020-03-31T04:32:07Z,"INSIDE Medium Alex
 (Microservice) Open API Open API Open API 
 Open API (Microservice) 
<ol><li></li><li> (Microservice)</li><li> Open API</li><li> (Microservice) Open API </li></ol>
ATM
 ETL 
<ol><li></li><li> 3 1 2 </li></ol> 2.0 3 700 3 
 (Microser… [+979 chars]"
"{'id': None, 'name': 'Habr.com'}",BANTIK,[Перевод] Сравнение стоимости на Managed Kubernetes (2020),"Прим. перев. : Американский DevOps-инженер Sid Palas, пользуясь недавним анонсом Google Cloud как инфоповодом, провёл сравнение стоимости услуги Managed Kubernetes (в разных конфигурациях) от ведущих мировых облачных провайдеров. Дополнительным плюсом его раб…",https://habr.com/ru/company/flant/blog/492226/#post-content-body,https://habrastorage.org/webt/rz/jt/ps/rzjtpszklkplbjbrity8q1m6ia0.png?v=1,2020-03-20T07:48:03Z,". .: DevOps- Sid Palas, Google Cloud , Managed Kubernetes ( ) . Jupyter Notebook, ( Python) .TL;DR: Azure Digital Ocean , (control plane), . GKE. , , // «» ( ).
 ( worker')
Google Cloud 10 GKE (managed) Kubernetes.
:
<ul><li> Google Kubernetes Engine (GCP… [+1149 chars]"
"{'id': None, 'name': 'Forbes.com'}","Gadi Naor, CommunityVoice, Gadi Naor, CommunityVoice https://www.forbes.com/sites/forbestechcouncil/people/gadinaor/",Three Trends That Will Affect Cloud Native In 2020,"What we expect to see is a lot of much-needed help from platform and tool developers in 2020, creating solutions that are easier to deploy, manage and understand to make up for the lack of skilled K8s experts in the workforce.",https://www.forbes.com/sites/forbestechcouncil/2020/04/09/three-trends-that-will-affect-cloud-native-in-2020/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fblogs-images.forbes.com%2Fforbestechcouncil%2Ffiles%2F2020%2F04%2Fa-44-1.jpg,2020-04-09T11:30:00Z,"How far we've come since Kubernetes was released in 2014. A survey conducted by CNCF (via TechRepublic) found that 40% of enterprise companies are deploying Kubernetes in production, and according to Redmonk (via CNCF), 71% of Fortune 100 companies use Kubern… [+3770 chars]"
"{'id': None, 'name': 'Theregister.co.uk'}",Tim Anderson,"AWS revamps Fargate serverless containers, but wait – where's Docker Engine? Ah, 'deemed unnecessary'","Bezos cloud crew chops 'bells and whistles' in favour of native support, adds shared storage Amazon Web Services has launched Fargate 1.4, an update to its serverless container platform that adds support for shared Elastic File System storage and removes use …",https://www.theregister.co.uk/2020/04/09/aws_revamps_fargate_serverless_containers/,https://regmedia.co.uk/2019/08/01/containers_shutterstock.jpg,2020-04-09T17:01:11Z,"Amazon Web Services has launched Fargate 1.4, an update to its serverless container platform that adds support for shared Elastic File System storage and removes use of Docker Engine.
Fargate is Amazon's service to simplify deploying container-based applicat… [+2832 chars]"
"{'id': None, 'name': 'Autobild.de'}",王宏仁,Container周報第124期：2020年第一個K8s新版1.18來了，38項更新的大亮點是Kubectl除錯,3/19~3/25 精選容器新聞 #K8s、#除錯功能2020年第一個K8s新版1.18來了，大增38項更新,https://www.autobild.de/news/136584,,2020-03-26T07:03:40Z,
"{'id': None, 'name': 'Lexpress.fr'}",王宏仁,Container周報第124期：2020年第一個K8s新版1.18來了，38項更新的大亮點是Kubectl除錯,3/19~3/25 精選容器新聞 #K8s、#除錯功能2020年第一個K8s新版1.18來了，大增38項更新,https://lentreprise.lexpress.fr/news/136584,,2020-03-26T07:03:40Z,
"{'id': None, 'name': 'Ithome.com.tw'}",周峻佑,資安一周第89期：暗網洩露Zoom帳號資料事件四起，使用者需養成良好密碼使用習慣自保,0409-0415 一定要看的資安新聞 ＃視訊會議 ＃資料外洩 Zoom驚傳用戶資料外洩，53萬筆帳密流入暗網,https://www.ithome.com.tw/news/137016,https://s4.itho.me/sites/default/files/field/image/0331-zoom_0.png,2020-04-16T02:55:45Z,"0409-0415 
 
  
Zoom53
Zoom352ZoomCyble53
CybleCredential Stuffing
Zoom
ZoomAlex Stamos
ZoomNTT DataProcoreEllie MaeVMWareNetflixUberElectronic Arts
VPN  
SuperVPN
VPNVPNProGoogle PlayVPNSuperVPNMitMHackerOne319Google47SuperVPN
SuperVPNGoogle Play… [+305 chars]"
"{'id': None, 'name': 'Ithome.com.tw'}",王宏仁,Container周報第125期：2019年CNCF雲端原生大調查出爐，75%企業在正式環境用K8s了,K8s的普及速度更快了，全球在正式環境使用K8s的組織超過了75%，比2018年的5成多增加了許多。高達19%企業在正式環境中的容器數量超過了5千個。,https://www.ithome.com.tw/news/136747,https://s4.itho.me/sites/default/files/field/image/tu_1_k8sgui_mo_tu_pian_lai_yuan_cncf.jpg,2020-04-05T02:20:52Z,"3/26~4/1 
#CNCF#K8s201975%K8s
CNCF20191,3373584%919%5CNCFK8sK8s75%20185Prometheus201975CoreDNS
K8sK8s2541K8s50K8sHelm6K8sMinikube39%Docker Kubernetes(32%)K8sK8s2
41%ServerlessAWS Lambda5Google Cloud Functions2Azure FunctionsGCPKnativeServerless34%
18%Con… [+790 chars]"
"{'id': None, 'name': 'Pipelinedriven.org'}",Roy Osherove,"If a Build Takes 4 Hours, Run It Every 4 Hours","Builds represent a bottleneck for getting feedback on our code so we can be confident about making more changes or releases. There are two mai factors here:    How often a build runs (Per commit, hourly, weekly etc..)    How long a build takes to finish    Ma…",https://pipelinedriven.org/article/if-builds-take-4-hours-run-them-every-4-hours,,2020-04-19T07:25:48Z,"Builds represent a bottleneck for getting feedback on our code so we can be confident about making more changes or releases. There are two mai factors here:
<ul><li>How often a build runs (Per commit, hourly, weekly etc..)
</li><li>How long a build takes to… [+4672 chars]"
"{'id': None, 'name': 'Linux.org.ru'}",Vsevolod_Vladimirov,Вечерняя школа Слёрма по Kubernetes,"7 апреля стартует «Вечерняя школа Слёрма: базовый курс по Kubernetes» - бесплатные вебинары по теории и платная практика. Курс рассчитан на 4 месяца, 1 теоретический вебинар и 1 практическое занятие в неделю (+ стенды для самостоятельной работы). Первый ознак…",https://www.linux.org.ru/news/conference/15626474,https://www.linux.org.ru/img/good-penguin.png,2020-04-16T09:25:20Z,"7 « : Kubernetes» - . 4 , 1 1 (+ ). « » 7 20:00. , , .1 
7 : ?
2 
13 : Docker. cli, , Dockerfile.14 : Docker-compose, Docker CI/CD. Docker.16 : 
3 
21 : Kubernetes, . , , . Pod, ReplicaSet, Deployment.23 : .
4 
28 : Kubernetes: Service, Ingress, PV, PV… [+713 chars]"
"{'id': None, 'name': 'Ithome.com.tw'}",黃郁芸,Cloud周報第61期：VMC on AWS於澳洲雪梨發生容量限制狀況，歷時18天才落幕,VMware Cloud on AWS在澳洲雪梨的服務地區，因疫情關係服務需求增加，上月23日發生容量限制的情況，導致用戶無法建立新的SDDC，且直到4月10日才恢復正常,https://www.ithome.com.tw/news/137025,https://s4.itho.me/sites/default/files/field/image/tu_vmc_on_aws_tu_pian_lai_yuan_vmware.jpg,2020-04-16T01:04:47Z,"2020/04/092020/04/15
            VMware    
VMC on AWSSDDC
VMwareAWSVMware Cloud on AWS3233410VMwareCOVID-19VMware Cloud on AWSSDDCVMwareSDDCVMware410VMware18
  SAP           
SAP3
SAP3SAP31%4.529%20.17%65.2SAPSAP421
            ERP   
ERP
ERP1,50020… [+875 chars]"
"{'id': 'la-repubblica', 'name': 'La Repubblica'}",王宏仁,Container周報第125期：2019年CNCF雲端原生大調查出爐，75%企業在正式環境用K8s了,3/26~4/1 精選容器新聞 #CNCF、#K8s2019雲端原生大調查出爐，75%企業在正式環境用K8s了,https://napoli.repubblica.it/news/136747,,2020-04-05T10:04:28Z,
